y	x	key	showSelected1
251.217149096051	1	1	1
251.217149096051	1	1	2
251.217149096051	1	1	3
251.217149096051	1	1	4
251.217149096051	1	1	5
251.217149096051	1	1	6
251.217149096051	1	1	7
251.217149096051	1	1	8
251.217149096051	1	1	9
251.217149096051	1	1	10
251.217149096051	1	1	11
251.217149096051	1	1	12
251.217149096051	1	1	13
251.217149096051	1	1	14
251.217149096051	1	1	15
251.217149096051	1	1	16
251.217149096051	1	1	17
251.217149096051	1	1	18
251.217149096051	1	1	19
251.217149096051	1	1	20
251.217149096051	1	1	21
251.217149096051	1	1	22
251.217149096051	1	1	23
251.217149096051	1	1	24
251.217149096051	1	1	25
251.217149096051	1	1	26
251.217149096051	1	1	27
251.217149096051	1	1	28
251.217149096051	1	1	29
251.217149096051	1	1	30
251.217149096051	1	1	31
251.217149096051	1	1	32
251.217149096051	1	1	33
251.217149096051	1	1	34
251.217149096051	1	1	35
251.217149096051	1	1	36
251.217149096051	1	1	37
251.217149096051	1	1	38
251.217149096051	1	1	39
251.217149096051	1	1	40
251.217149096051	1	1	41
251.217149096051	1	1	42
251.217149096051	1	1	43
251.217149096051	1	1	44
251.217149096051	1	1	45
251.217149096051	1	1	46
251.217149096051	1	1	47
251.217149096051	1	1	48
251.217149096051	1	1	49
251.217149096051	1	1	50
236.823146597092	2	1	2
236.823146597092	2	1	3
236.823146597092	2	1	4
236.823146597092	2	1	5
236.823146597092	2	1	6
236.823146597092	2	1	7
236.823146597092	2	1	8
236.823146597092	2	1	9
236.823146597092	2	1	10
236.823146597092	2	1	11
236.823146597092	2	1	12
236.823146597092	2	1	13
236.823146597092	2	1	14
236.823146597092	2	1	15
236.823146597092	2	1	16
236.823146597092	2	1	17
236.823146597092	2	1	18
236.823146597092	2	1	19
236.823146597092	2	1	20
236.823146597092	2	1	21
236.823146597092	2	1	22
236.823146597092	2	1	23
236.823146597092	2	1	24
236.823146597092	2	1	25
236.823146597092	2	1	26
236.823146597092	2	1	27
236.823146597092	2	1	28
236.823146597092	2	1	29
236.823146597092	2	1	30
236.823146597092	2	1	31
236.823146597092	2	1	32
236.823146597092	2	1	33
236.823146597092	2	1	34
236.823146597092	2	1	35
236.823146597092	2	1	36
236.823146597092	2	1	37
236.823146597092	2	1	38
236.823146597092	2	1	39
236.823146597092	2	1	40
236.823146597092	2	1	41
236.823146597092	2	1	42
236.823146597092	2	1	43
236.823146597092	2	1	44
236.823146597092	2	1	45
236.823146597092	2	1	46
236.823146597092	2	1	47
236.823146597092	2	1	48
236.823146597092	2	1	49
236.823146597092	2	1	50
223.028894202257	3	1	3
223.028894202257	3	1	4
223.028894202257	3	1	5
223.028894202257	3	1	6
223.028894202257	3	1	7
223.028894202257	3	1	8
223.028894202257	3	1	9
223.028894202257	3	1	10
