y	x	key	showSelected1
668.059254359209	1	1	1
668.059254359209	1	1	2
668.059254359209	1	1	3
668.059254359209	1	1	4
668.059254359209	1	1	5
668.059254359209	1	1	6
668.059254359209	1	1	7
668.059254359209	1	1	8
668.059254359209	1	1	9
668.059254359209	1	1	10
668.059254359209	1	1	11
668.059254359209	1	1	12
668.059254359209	1	1	13
668.059254359209	1	1	14
668.059254359209	1	1	15
668.059254359209	1	1	16
668.059254359209	1	1	17
668.059254359209	1	1	18
668.059254359209	1	1	19
668.059254359209	1	1	20
668.059254359209	1	1	21
668.059254359209	1	1	22
668.059254359209	1	1	23
668.059254359209	1	1	24
668.059254359209	1	1	25
668.059254359209	1	1	26
668.059254359209	1	1	27
668.059254359209	1	1	28
668.059254359209	1	1	29
668.059254359209	1	1	30
668.059254359209	1	1	31
668.059254359209	1	1	32
668.059254359209	1	1	33
668.059254359209	1	1	34
668.059254359209	1	1	35
668.059254359209	1	1	36
668.059254359209	1	1	37
668.059254359209	1	1	38
668.059254359209	1	1	39
668.059254359209	1	1	40
668.059254359209	1	1	41
668.059254359209	1	1	42
668.059254359209	1	1	43
668.059254359209	1	1	44
668.059254359209	1	1	45
668.059254359209	1	1	46
668.059254359209	1	1	47
668.059254359209	1	1	48
668.059254359209	1	1	49
668.059254359209	1	1	50
620.331772388977	2	1	2
620.331772388977	2	1	3
620.331772388977	2	1	4
620.331772388977	2	1	5
620.331772388977	2	1	6
620.331772388977	2	1	7
620.331772388977	2	1	8
620.331772388977	2	1	9
620.331772388977	2	1	10
620.331772388977	2	1	11
620.331772388977	2	1	12
620.331772388977	2	1	13
620.331772388977	2	1	14
620.331772388977	2	1	15
620.331772388977	2	1	16
620.331772388977	2	1	17
620.331772388977	2	1	18
620.331772388977	2	1	19
620.331772388977	2	1	20
620.331772388977	2	1	21
620.331772388977	2	1	22
620.331772388977	2	1	23
620.331772388977	2	1	24
620.331772388977	2	1	25
620.331772388977	2	1	26
620.331772388977	2	1	27
620.331772388977	2	1	28
620.331772388977	2	1	29
620.331772388977	2	1	30
620.331772388977	2	1	31
620.331772388977	2	1	32
620.331772388977	2	1	33
