y	x	label	key	showSelected1
-50.2434298192103	25	Intercept: -0.344	1	1
-50.2434298192103	25	Intercept: -0.222	1	2
-50.2434298192103	25	Intercept: -0.099	1	3
-50.2434298192103	25	Intercept: 0.023	1	4
-50.2434298192103	25	Intercept: 0.146	1	5
-50.2434298192103	25	Intercept: 0.268	1	6
-50.2434298192103	25	Intercept: 0.391	1	7
-50.2434298192103	25	Intercept: 0.513	1	8
-50.2434298192103	25	Intercept: 0.635	1	9
-50.2434298192103	25	Intercept: 0.758	1	10
-50.2434298192103	25	Intercept: 0.880	1	11
-50.2434298192103	25	Intercept: 1.003	1	12
-50.2434298192103	25	Intercept: 1.125	1	13
-50.2434298192103	25	Intercept: 1.248	1	14
-50.2434298192103	25	Intercept: 1.370	1	15
-50.2434298192103	25	Intercept: 1.493	1	16
-50.2434298192103	25	Intercept: 1.615	1	17
-50.2434298192103	25	Intercept: 1.737	1	18
-50.2434298192103	25	Intercept: 1.860	1	19
-50.2434298192103	25	Intercept: 1.982	1	20
-50.2434298192103	25	Intercept: 2.105	1	21
-50.2434298192103	25	Intercept: 2.227	1	22
-50.2434298192103	25	Intercept: 2.350	1	23
-50.2434298192103	25	Intercept: 2.472	1	24
-50.2434298192103	25	Intercept: 2.595	1	25
-50.2434298192103	25	Intercept: 2.717	1	26
-50.2434298192103	25	Intercept: 2.840	1	27
-50.2434298192103	25	Intercept: 2.962	1	28
-50.2434298192103	25	Intercept: 3.084	1	29
-50.2434298192103	25	Intercept: 3.207	1	30
-50.2434298192103	25	Intercept: 3.329	1	31
-50.2434298192103	25	Intercept: 3.452	1	32
-50.2434298192103	25	Intercept: 3.574	1	33
-50.2434298192103	25	Intercept: 3.697	1	34
-50.2434298192103	25	Intercept: 3.819	1	35
-50.2434298192103	25	Intercept: 3.942	1	36
-50.2434298192103	25	Intercept: 4.064	1	37
-50.2434298192103	25	Intercept: 4.186	1	38
-50.2434298192103	25	Intercept: 4.309	1	39
-50.2434298192103	25	Intercept: 4.431	1	40
-50.2434298192103	25	Intercept: 4.554	1	41
-50.2434298192103	25	Intercept: 4.676	1	42
-50.2434298192103	25	Intercept: 4.799	1	43
-50.2434298192103	25	Intercept: 4.921	1	44
-50.2434298192103	25	Intercept: 5.044	1	45
-50.2434298192103	25	Intercept: 5.166	1	46
-50.2434298192103	25	Intercept: 5.288	1	47
-50.2434298192103	25	Intercept: 5.411	1	48
-50.2434298192103	25	Intercept: 5.533	1	49
-50.2434298192103	25	Intercept: 5.656	1	50
