y	x	key	showSelected1
668.059254359209	1	1	1
668.059254359209	1	1	2
620.331772388977	2	2	2
668.059254359209	1	1	3
620.331772388977	2	2	3
574.592935500838	3	3	3
668.059254359209	1	1	4
620.331772388977	2	2	4
574.592935500838	3	3	4
530.842743694793	4	4	4
668.059254359209	1	1	5
620.331772388977	2	2	5
574.592935500838	3	3	5
530.842743694793	4	4	5
489.08119697084	5	5	5
668.059254359209	1	1	6
620.331772388977	2	2	6
574.592935500838	3	3	6
530.842743694793	4	4	6
489.08119697084	5	5	6
449.30829532898	6	6	6
668.059254359209	1	1	7
620.331772388977	2	2	7
574.592935500838	3	3	7
530.842743694793	4	4	7
489.08119697084	5	5	7
449.30829532898	6	6	7
411.524038769214	7	7	7
668.059254359209	1	1	8
620.331772388977	2	2	8
574.592935500838	3	3	8
530.842743694793	4	4	8
489.08119697084	5	5	8
449.30829532898	6	6	8
411.524038769214	7	7	8
375.72842729154	8	8	8
668.059254359209	1	1	9
620.331772388977	2	2	9
574.592935500838	3	3	9
530.842743694793	4	4	9
489.08119697084	5	5	9
449.30829532898	6	6	9
411.524038769214	7	7	9
375.72842729154	8	8	9
341.921460895959	9	9	9
668.059254359209	1	1	10
620.331772388977	2	2	10
574.592935500838	3	3	10
530.842743694793	4	4	10
489.08119697084	5	5	10
449.30829532898	6	6	10
411.524038769214	7	7	10
375.72842729154	8	8	10
341.921460895959	9	9	10
310.103139582471	10	10	10
668.059254359209	1	1	11
620.331772388977	2	2	11
574.592935500838	3	3	11
530.842743694793	4	4	11
489.08119697084	5	5	11
449.30829532898	6	6	11
411.524038769214	7	7	11
375.72842729154	8	8	11
341.921460895959	9	9	11
310.103139582471	10	10	11
280.273463351076	11	11	11
668.059254359209	1	1	12
620.331772388977	2	2	12
574.592935500838	3	3	12
530.842743694793	4	4	12
489.08119697084	5	5	12
449.30829532898	6	6	12
411.524038769214	7	7	12
375.72842729154	8	8	12
341.921460895959	9	9	12
310.103139582471	10	10	12
280.273463351076	11	11	12
252.432432201775	12	12	12
668.059254359209	1	1	13
620.331772388977	2	2	13
574.592935500838	3	3	13
530.842743694793	4	4	13
